Fecha_Anuncio,Cambio,Nivel_PostCambio,extraordinaria,Gobernador,Subgober1,Subgober2,Subgober3,Subgober4,Miembros_Votos,Votos_Favor,Disidentes
29/09/2016,50 ,4.75,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
17/11/2016,50 ,5.25,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
15/12/2016,50 ,5.75,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,5,5,
09/02/2017,50 ,6.25,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Alejandro Díaz de León Carrillo,5,5,
30/03/2017,25 ,6.50,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Alejandro Díaz de León Carrillo,5,5,
18/05/2017,25 ,6.75,no,Agustín Guillermo Carstens Carstens,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Alejandro Díaz de León Carrillo,,4,4,
22/06/2017,25 ,7.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Alejandro Díaz de León Carrillo,5,4,
10/08/2017,0 ,7.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Alejandro Díaz de León Carrillo,5,5,
28/09/2017,0 ,7.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Alejandro Díaz de León Carrillo,5,5,
09/11/2017,0 ,7.00,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,,4,4,
14/12/2017,25 ,7.25,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,,4,3,
08/02/2018,25 ,7.50,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,5,5,
12/04/2018,0 ,7.50,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,5,5,
17/05/2018,0 ,7.50,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,5,5,
21/06/2018,25 ,7.75,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,5,5,
02/08/2018,0 ,7.75,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,5,5,
04/10/2018,0 ,7.75,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,5,4,Manuel Ramos Francia
15/11/2018,25 ,8.00,no,Alejandro Díaz de León Carrillo,Roberto del Cueto Legaspi,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,5,4,Irene Espinosa Cantellano
20/12/2018,25 ,8.25,no,Alejandro Díaz de León Carrillo,Manuel Ramos Francia,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,,4,4,
07/02/2019,0 ,8.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
28/03/2019,0 ,8.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
16/05/2019,0 ,8.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
27/06/2019,0 ,8.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,4,Gerardo Esquivel Hernández
15/08/2019,-25 ,8.00,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,4,Javier Eduardo Guzmán Calafell
26/09/2019,-25 ,7.75,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,3,"Gerardo Esquivel Hernández, Jonathan Ernest Heath Constable"
14/11/2019,-25 ,7.50,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,3,"Gerardo Esquivel Hernández, Jonathan Ernest Heath Constable"
19/12/2019,-25 ,7.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,4,Gerardo Esquivel Hernández
13/02/2020,-25 ,7.00,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
20/03/2020,-50 ,6.50,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,4,Javier Eduardo Guzmán Calafell
21/04/2020,-50 ,6.00,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
14/05/2020,-50 ,5.50,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
25/06/2020,-50 ,5.00,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
13/08/2020,-50 ,4.50,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,4,Irene Espinosa Cantellano
24/09/2020,-25 ,4.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,5,
12/11/2020,0 ,4.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,4,Jonathan Ernest Heath Constable
17/12/2020,0 ,4.25,no,Alejandro Díaz de León Carrillo,Javier Eduardo Guzmán Calafell,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,5,3,"Gerardo Esquivel Hernández, Jonathan Ernest Heath Constable"
11/02/2021,-25 ,4.00,no,Alejandro Díaz de León Carrillo,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,Galia Borja Gómez,5,5,
25/03/2021,0 ,4.00,no,Alejandro Díaz de León Carrillo,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,Galia Borja Gómez,5,5,
13/05/2021,0 ,4.00,no,Alejandro Díaz de León Carrillo,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,Galia Borja Gómez,5,5,
24/06/2021,25 ,4.25,no,Alejandro Díaz de León Carrillo,Irene Espinosa Cantellano,Gerardo Esquivel Hernández,Jonathan Ernest Heath Constable,Galia Borja Gómez,5,3,"Gerardo Esquivel Hernández, Galia Borja Gómez"
